ID,JavaScript frameworks
892,Svelte
892,Vue.js
897,Next.js
897,Angular
902,AngularJS
904,Next.js
908,Next.js
911,Vue.js
911,Knockout.js
912,Next.js
915,Vue.js
929,Angular
933,Vue.js
934,Svelte
937,Svelte
940,Angular
941,Prototype
941,AngularJS
941,AMP
941,Svelte
947,Handlebars
949,Angular
950,Next.js
951,Vue.js
951,AngularJS
951,AMP
952,Handlebars
953,Angular
953,Vue.js
956,Vue.js
962,Gatsby
962,Vue.js
963,Next.js
970,Backbone.js
978,Next.js
981,Next.js
982,Next.js
984,Next.js
984,Svelte
987,Knockout.js
988,Next.js
989,Angular
993,Angular
993,Svelte
1005,Vue.js
1007,Vue.js
1009,Vue.js
1009,Stimulus
1010,Next.js
1012,AngularJS
1012,Alpine.js
1013,Marionette.js
1013,Handlebars
1013,Vue.js
1013,Backbone.js
1016,Next.js
1019,Vue.js
1020,Vue.js
1020,Next.js
1024,Vue.js
1026,Mustache
1038,Knockout.js
1039,AngularJS
1041,AngularJS
1043,Next.js
1044,Angular
1045,Handlebars
1047,Next.js
1048,Vue.js
1048,Svelte
1053,Handlebars
1054,Alpine.js
1055,Vue.js
1056,Svelte
1056,Prototype
1064,Next.js
1065,Svelte
1066,Svelte
1075,Vue.js
1075,Next.js
1076,Knockout.js
1076,Vue.js
1079,Handlebars
1082,Svelte
1085,Angular
1086,Svelte
1089,AngularJS
1091,Next.js
1092,Nuxt.js
1092,Vue.js
1093,Angular
1094,Svelte
