ID,EMPRESA,Setor primário,SSL/TLS enabled,Responsive
162,RBS Zero Hora Editora Jornalística,Participações e Mídia,True,
163,Editora Globo,Educação,True,False
164,Goemil,Alimentos e Bebidas,True,False
165,Agehab,Imobiliário e Construção Civil,True,
166,GPC Química,Petróleo e Químico,False,False
167,Grupo Safira,Energia,True,True
168,Granja Faria,Alimentos e Bebidas,True,False
169,Drogarias São Paulo Pacheco,Saúde e Serviços de Saúde,True,True
170,Grupo Elfa,Farmacêutico e Beleza,True,True
171,Grupo Kallas,Imobiliário e Construção Civil,False,True
172,Oncoclínicas,Saúde e Serviços de Saúde,True,False
173,Oncoclínicas,Saúde e Serviços de Saúde,,
174,Salta Educação,Educação,True,
175,Grupo Sinosserra,Atacado e Varejo,True,False
176,Hidrovias do Brasil,"Transporte, Logística e Serviços Logísticos",True,True
177,Instituto Sírio-Libanês,Saúde e Serviços de Saúde,True,
178,Banco Hyundai Capital Brasil,Bancos,True,False
179,Banco RCI Brasil,Bancos,True,True
180,Iconic,Petróleo e Químico,,
181,Iguá Saneamento,Saneamento e Meio Ambiente,True,True
183,Iguatemi Shopping,Imobiliário e Construção Civil,True,
184,Iharabras,Agronegócio,True,True
185,Ijuí Energia,Energia,True,True
186,Incotep,"Siderurgia, Mineração e Metalurgia",True,True
187,Innova,Petróleo e Químico,True,True
188,Banco Toyota do Brasil,Bancos,True,True
189,Empresa Paulista de Televisão,Participações e Mídia,True,True
190,Porto Seguro Seguros,Seguradoras,True,False
191,Inter,Bancos,True,False
192,Intral,Bens de Capital e Eletroeletrônicos,,
193,Irani,Papel e Celulose,True,True
194,Itacel,Papel e Celulose,True,False
195,Itaú Consultoria Financeira,Serviços Financeiros,True,
196,Jacto,Bens de Capital e Eletroeletrônicos,True,
197,Josapar,Agronegócio,True,True
198,JSL,"Transporte, Logística e Serviços Logísticos",True,True
199,Gadkin,Alimentos e Bebidas,,
200,Kingspan Isoeste - Construtivos Isotérmicos,"Siderurgia, Mineração e Metalurgia",True,True
201,Klabin,Papel e Celulose,True,True
202,Chubb Resseguradora,Seguradoras,True,False
203,Let’s Rent A Car,"Transporte, Logística e Serviços Logísticos",True,False
204,LM Transportes,"Transporte, Logística e Serviços Logísticos",True,True
205,Log CP,Imobiliário e Construção Civil,,
206,Algar Telecom,Tecnologia e Telecomunicações,True,True
208,Electrolux,Bens de Capital e Eletroeletrônicos,True,True
209,Granfino,Alimentos e Bebidas,True,False
210,Mundial,Bens de Capital e Eletroeletrônicos,True,
211,Anima,Educação,True,True
212,Integrada,Cooperativas,True,True
213,Luizaseg,Seguradoras,True,True
214,Lunelli,Moda e Vestuário,True,
215,Equatorial Maranhão Distribuidora de Energia,Energia,True,
216,Mongeral,Seguradoras,True,
217,Mangels,Bens de Capital e Eletroeletrônicos,True,True
218,BB Mapfre,Seguradoras,,
219,Mate Couro,Agronegócio,True,False
220,M. Dias Branco,Alimentos e Bebidas,True,
221,Liberty Seguros,Seguradoras,True,True
222,Minerva,Alimentos e Bebidas,True,False
223,Banco Vipal,Bancos,True,
224,Moageira Irati,Alimentos e Bebidas,True,True
225,Moinho Globo,Alimentos e Bebidas,True,True
226,Nadir Figueiredo,Bens de Capital e Eletroeletrônicos,True,
227,Nardini Agroindustrial,Agronegócio,True,True
228,Novo Banco Continental,Bancos,True,False
229,Neo BPO,Tecnologia e Telecomunicações,True,True
230,Neoenergia Guanabara,Energia,True,False
231,Neoenergia Dourados,Energia,True,False
232,Neoenergia Renováveis,Energia,True,
233,Neoenergia Santa Luzia,Energia,True,
234,Neon Pagamentos,Bancos,True,True
235,Newsul,Petróleo e Químico,True,True
236,Moinho Paulista,Alimentos e Bebidas,True,True
237,Noromix Concreto,Imobiliário e Construção Civil,True,True
238,Nortec Química,Petróleo e Químico,True,True
239,Copergás,Energia,True,True
240,Transportadora Associada de Gás,"Transporte, Logística e Serviços Logísticos",False,False
241,OceanPact,"Transporte, Logística e Serviços Logísticos",,
242,Ocrim Produtos Alimentícios,Alimentos e Bebidas,True,False
243,Marcopolo,Bens de Capital e Eletroeletrônicos,True,False
244,UBS Brasil,Serviços Financeiros,True,False
245,Orbitall,Tecnologia e Telecomunicações,True,False
246,Orizon VR,Saneamento e Meio Ambiente,True,True
248,Ouro Fino,Farmacêutico e Beleza,True,True
249,Neoenergia Itabapoana,Energia,True,False
250,Equatorial Pará,Energia,True,True
251,Pacaembu Construtora,Imobiliário e Construção Civil,True,True
252,PagBank,Serviços Financeiros,True,True
253,Rumo Malha Paulista,"Transporte, Logística e Serviços Logísticos",True,False
254,Panatlântica Catarinense,"Siderurgia, Mineração e Metalurgia",True,True
255,Paraná Clínicas Plano de Saúde,Saúde e Serviços de Saúde,True,True
256,Paraná Equipamentos,Bens de Capital e Eletroeletrônicos,True,True
257,Petrobras,Petróleo e Químico,True,True
258,PetroReconcavo,Petróleo e Químico,True,False
259,Plascar,Bens de Capital e Eletroeletrônicos,True,True
260,Raízen Centro-Sul,Energia,True,True
261,Icatu,Seguradoras,True,True
262,SulAmérica,Seguradoras,True,True
263,Unimed Seguradora,Seguradoras,True,True
264,Raízen Mime,Energia,True,False
265,Pottencial Seguradora,Seguradoras,True,True
266,Mataboi Alimentos,Alimentos e Bebidas,True,True
267,Prio,Petróleo e Químico,True,True
268,SSA,Alimentos e Bebidas,,
269,Novelis,"Siderurgia, Mineração e Metalurgia",True,True
270,QI Participações,Serviços Financeiros,True,True
271,Quality Software,Tecnologia e Telecomunicações,True,False
272,Racional Engenharia,Imobiliário e Construção Civil,True,False
273,Hospital Meridional,Saúde e Serviços de Saúde,True,True
274,Rede Sol,Energia,True,False
275,Repsol Sinopec,Petróleo e Químico,,
276,Rumo Malha Sul,"Transporte, Logística e Serviços Logísticos",True,False
277,AES Brasil Energia,Energia,True,True
279,Autopista Regis,"Transporte, Logística e Serviços Logísticos",,
280,Cesp Comercializadora,Energia,True,True
281,Brasilagro,Agronegócio,True,
282,Celesc Geração,Energia,True,False
283,Copel Geração e Transmissão,Energia,True,
285,CPFL Renováveis,Energia,True,False
286,Rio Paraná Energia,Energia,True,True
287,Daycoval Leasing,Bancos,True,False
288,EDP Aliança,Energia,True,False
289,Ampla Energia,Energia,True,True
290,Grupo SBF,Atacado e Varejo,True,True
291,Rio Paranapanema Participações,Energia,True,True
292,Prio Jaguar,Petróleo e Químico,True,True
293,Raízen,Energia,True,False
294,Rede D1000,Saúde e Serviços de Saúde,True,True
295,Guararapes Confecções,Moda e Vestuário,False,True
296,Sicredi Participações,Cooperativas,True,True
298,Distribuidora Rio Branco de Petróleo,Energia,True,True
299,RIP Serviços Industriais,Imobiliário e Construção Civil,True,True
300,Banco Rodobens,Bancos,True,True
301,CCR Viasul,"Transporte, Logística e Serviços Logísticos",True,
302,Rumo Malha Central,"Transporte, Logística e Serviços Logísticos",True,True
303,Sabin,Saúde e Serviços de Saúde,True,True
304,Sansuy,Petróleo e Químico,True,False
305,Santa Casa de Misericórida BH,Saúde e Serviços de Saúde,True,True
306,SulAmérica Serviços de Saúde,Operadoras de Planos de Saúde,True,
307,Coelce,Energia,True,False
308,Sequoia Logística e Transportes,"Transporte, Logística e Serviços Logísticos",True,False
309,Servgas,Energia,True,True
310,Compesa,Saneamento e Meio Ambiente,True,
311,Energisa,Energia,True,
312,Coelba,Energia,True,False
314,Afluente T,Energia,True,False
315,Celpe,Energia,True,True
316,Simpar,"Transporte, Logística e Serviços Logísticos",True,True
317,Simpress,Tecnologia e Telecomunicações,True,True
318,Accesstage Tecnologia,Tecnologia e Telecomunicações,True,True
319,Getnet,Serviços Financeiros,True,True
320,Multilog,"Transporte, Logística e Serviços Logísticos",True,True
322,Plenaventura,Participações e Mídia,True,False
323,Banco Sociéte Générale Brasil,Bancos,,
324,Sompo Seguros,Seguradoras,True,True
325,Sooro,Agronegócio,True,True
